SEQN,timezone,duration_hours,mean_lux,mean_daytime_lux,mean_nighttime_lux,time_above_threshold,M10,L5,RA
67368,UTC,192.08333333333334,8.971923966464297,16.341253610629693,1.733641975308642,0.0,19.2448649691358,0.09997916666666667,0.9896634818078859
65027,UTC,192.08333333333334,42.43533246603065,84.6690972222222,0.21973056197074675,0.0,101.32477430555555,0.01838888888888889,0.9996370966070279
65217,UTC,192.08333333333334,73.12244579358196,144.4456412478336,1.0600925925925926,0.0,165.64390547839506,0.0,1.0
70411,UTC,192.08333333333334,0.23108557386527898,0.45715277777777774,0.0072093918398768286,0.0,0.5485833333333333,0.0,1.0
64363,UTC,192.08333333333334,62.04400549291704,78.1843500866551,47.676122685185184,0.0,91.49353626543211,12.840350308641975,0.7538604047012916
66535,UTC,192.08333333333334,38.21571986123157,71.1280150462963,3.497902232486528,0.0,82.37129166666666,0.11969444444444446,0.9970979994278836
71631,UTC,192.08333333333334,31.20793292859208,59.79261698440207,2.7484259259259263,0.0,70.99834143518518,0.21323611111111113,0.9940111954134849
66927,UTC,192.08333333333334,57.074180398959236,105.63345176198729,6.796439043209876,0.0,126.47700848765432,3.419645833333333,0.9473482076777275
69380,UTC,192.08333333333334,102.05691962995085,197.66041016753323,6.029660493827159,0.0,235.2446836419753,4.317645833333333,0.963953883377325
68660,UTC,192.08333333333334,0.2720222607690084,0.1344068287037037,0.5455504234026174,0.0,0.5085069444444444,0.0,1.0
64763,UTC,192.08333333333334,88.10784475281874,161.85139467592592,16.304834488067744,0.0,192.58609722222224,0.5390625,0.9944174803451259
63642,UTC,222.16666666666666,86.75208098987626,160.57835156819843,6.291917009602195,0.0,188.45147129629632,1.7171666666666667,0.9819405903616863
62343,UTC,192.08333333333334,303.63463139635735,548.6120883882148,23.786157407407405,90.0,696.2187094907407,0.1031875,0.9997036212692838
63023,UTC,192.08333333333334,86.13886094246891,159.39481513575967,7.279293981481481,0.0,186.9286176697531,3.0217013888888884,0.9681842978325715
